lesson,word,pronunciation,partOfSpeech,definition,example
15,chronicle,KRON-ih-kul,noun/verb,a factual written account of events in order; to record events in order,The journalist chronicled the entire decade of the conflict in a sweeping four-part series.
15,diurnal,dy-UR-nul,adjective,of or during the day; active during the day,"Most songbirds are diurnal, singing and feeding from dawn until dusk."
15,equinox,EE-kwih-noks,noun,the time when the sun crosses the equator and day and night are equal length,The spring equinox marks the official beginning of the astronomical season.
15,extempore,ek-STEM-per-ee,adverb/adjective,spoken or done without preparation; improvised,"She delivered the entire commencement address extempore, without a single note."
15,meridian,muh-RID-ee-un,noun,a circle of constant longitude passing through the poles; the point of greatest success,The prime meridian at Greenwich is the reference point for all longitude measurements.
15,millennium,mih-LEN-ee-um,noun,a period of one thousand years; a point marking a thousand-year period,Archaeologists uncovered artifacts spanning nearly two millennia of continuous settlement.
15,nocturne,NOK-turn,noun,a piece of music meant to evoke night; a night scene in painting,Chopin's nocturnes are among the most serene and introspective works in the piano repertoire.
15,sojourn,SOH-jurn,noun/verb,a temporary stay; to stay temporarily,She spent a six-month sojourn in Florence studying Renaissance art and architecture.
15,superannuated,soo-per-AN-yoo-ay-tid,adjective,outdated; retired because of age or infirmity often with a pension,The superannuated equipment was finally replaced after years of unreliable performance.
15,synchronous,SING-kruh-nus,adjective,occurring at the same time; moving or operating at the same rate,"The satellites operate in synchronous orbit, maintaining a fixed position above the equator."
15,temporal,TEM-per-ul,adjective,relating to worldly as opposed to spiritual affairs; relating to time,The bishop said that spiritual welfare must take precedence over temporal concerns.
15,temporize,TEM-per-yz,verb,to avoid making a commitment in order to gain time; to act evasively,"The diplomat continued to temporize, asking for more meetings to delay any final decision."
16,demur,dih-MUR,verb/noun,to raise objections; to show reluctance; an objection,She demurred when asked to sign the document without reading it carefully first.
16,dour,dour,adjective,"relentlessly severe, stern, or gloomy",The dour expression on the judge's face gave nothing away about the verdict to come.
16,duress,dyoo-RES,noun,coercion or threats used to make someone do something; imprisonment,The defendant claimed he had signed the contract under duress and sought to have it voided.
16,immemorial,im-uh-MOR-ee-ul,adjective,originating so long ago that the beginning is beyond memory,The village has observed the spring festival since time immemorial.
16,memoir,MEM-wahr,noun,a historical account written from personal knowledge; an autobiography,The retired diplomat published a candid memoir covering forty years in foreign service.
16,memorabilia,mem-er-uh-BIL-ee-uh,noun,objects kept or collected because of their historical interest,The auction house sold sports memorabilia including a signed jersey from the championship season.
16,moratorium,mor-uh-TOR-ee-um,noun,a temporary ban or suspension of an activity,The government declared a moratorium on new offshore drilling pending an environmental review.
16,neoclassical,nee-oh-KLAS-ih-kul,adjective,relating to a revival of classical style in the arts,The neoclassical facade of the courthouse featured tall columns and symmetrical windows.
16,neologism,nee-OL-oh-jiz-um,noun,a newly coined word or expression,'Selfie' is a neologism that entered common usage with the rise of smartphone cameras.
16,neophyte,NEE-oh-fyt,noun,a person new to a subject or activity; a novice,As a neophyte investor she relied heavily on the advice of her more experienced colleagues.
16,nova,NOH-vuh,noun,a star that suddenly increases in brightness then fades; something new,The discovery of the nova was announced in science journals around the world.
16,novice,NOV-is,noun,a person new to a skill or activity; a probationary member of a religious order,Even a novice chess player can learn the basics of strategy within a few games.
16,obdurate,OB-dyoo-rit,adjective,stubbornly refusing to change; hard-hearted,Despite hours of negotiation the obdurate landlord refused to lower the rent by a single cent.
16,senescent,sih-NES-ent,adjective,aging; growing old and showing the effects of aging,"The senescent oak still stood in the center of the garden, gnarled and magnificent."
16,surly,SUR-lee,adjective,bad-tempered and unfriendly,The surly clerk at the front desk made every visitor feel unwelcome.
